Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
Pier Street Playhouse	2026-07-22	15:30	16:30	Mellow Drama at the Ventnor Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=44401		Performing Arts	true	false	A long time ago in a galaxy not far away an evil Emperor develops plans for the ultimate weapon with enough power to subdue the whole known world with the assistance of a dark Lord. But he hasn't reckoned on the arrival of a rival whose destiny will bring new hope to those who refuse to go over to the dark side. Nor has he reckoned on the arrival of those who will join forces with this rival. Mellow Drama returns to the Ventnor Fringe to proudly present a short play in three Acts: “The Emperor strikes back” “Star Draws” and “The Return of the Magi”.
Bijou	2026-07-22	15:30	16:30	Monty Storyteller — Solent Tales, Macabre Stories	https://purchase.vfringe.co.uk/EventAvailability?EventId=48401		Spoken Word, Walks & Talks	true	false	It's a time for spying, and a time for sabotage. The last quarter of the 18th century and Britain is at war with France and America. Portsmouth, as the home of the Navy, is a target... So come here tell, of John the Painter, incendiary and arsonist, hanged, on The Hard, from the highest gallows to be used in England. And of David Tyrie, whose particularly gruesome execution on Southsea Common pulled in a crowd to rival that of the Victorious Festival today. And of... well, that would be telling... Taking time out from tale telling alongside some of the island's finest musicians, traditional storyteller Tony "Monty" Hirst brings a solo show of historical tales to Ventnor Fringe. Carefully researched from contemporary newspaper sources of the time, which will be surely made available as storynotes merch, Monty has read them all and will tell you what he remembers. Because it's the story that's left when the facts have been forgotten. Find out more from: montystoryteller.org
The Garage	2026-07-22	16:00	16:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
Ventnor Arts Club	2026-07-22	16:45	17:45	Richard Pulsford: Yorkshire Dad, Immigrant Mum	https://purchase.vfringe.co.uk/EventAvailability?EventId=9001		Comedy & Cabaret	true	false	Multi-award-winning stand-up comedian Richard Pulsford takes a nostalgic no holds barred tour into his parents’ past to try to understand how it made them who they were, and therefore the person who he is. With a dad from Yorkshire and a ‘foreign’ mum maybe it shouldn’t be a surprise that Richard ended up being, well, ‘funny’. Richard won Leicester Comedy Festival’s UK Pun Championships in 2022, has had jokes in the Top Ten Jokes of the Edinburgh Fringe three times, was an interviewed guest on Channel 4’s ‘Steph’s Packed Lunch’ in 2022 and his one-liner show was nominated for ‘Best stand-up’ at Buxton Fringe in 2023. The run of his one-liner show ‘Get Rich Quick’ was a sell-out in the Ventnor Fringe in 2024.
Bosco Theatre	2026-07-22	17:00	18:00	Burning Down the Horse	https://purchase.vfringe.co.uk/EventAvailability?EventId=43603		Performing Arts	true	false	The multi award-winning smash hit Burning Down the Horse comes to Ventnor! This immersive comedy epic drops you into the heart of the most iconic wooden animal in history - the Trojan Horse. Become part of this “infectiously funny” (Fringe Review) tale as you contend with heroic egos, class clashes and sword supply issues. There's only one rule: Odysseus' word is law. And for the love of gods - no naked flames! Created by the team behind last year’s smash It’s Gonna Blow!, join us and experience what really went on inside the belly of the beast.
Ingrams Yard	2026-07-22	17:00	18:00	DELUGE	https://purchase.vfringe.co.uk/EventAvailability?EventId=41401		Performing Arts	true	false	A comic exploration of grief, inspired by a break-up and over 40 interviews gathered via a social media call-out. In the wake of a relationship, a woman tries to contain the overflow of her thoughts…She ends up stuck in a ladder, fighting against komodo dragons, house leaks, holes, and jam jars that only seem to multiply. Deluge puts a magic realist spin on dealing with grief, blurring imagination with real stories. ‘Intense physicality and irresistible charm’ **** (British Theatre Guide). ‘Incredibly beautifully written’ **** (Spy in The Stalls). ****½ (Youngish Perspective)
Ventnor Botanic Garden	2026-07-22	18:00	20:00	Circus Trail	https://purchase.vfringe.co.uk/EventAvailability?EventId=37601		Performing Arts	true	false	Explore Ventnor's famous Botanic Garden after hours as The Circus Trail returns with an all new cast of acrobats and performers. Once again transforming these tropical gardens in a unique promenade performance, created especially for Ventnor Fringe. The perfect festival adventure for adults and children of all ages.
Ventnor Exchange Arena	2026-07-22	18:00	19:00	POLICE COPS	https://purchase.vfringe.co.uk/EventAvailability?EventId=37401		Comedy & Cabaret	true	false	POLICE COPS debut show; a globally-acclaimed comedy blockbuster that has enjoyed THREE sell out runs at London’s Soho Theatre and an OFFICIAL SELL OUT run at The Edinburgh Fringe Festival. The 7 time award winning production has delighted audiences around the world at The Melbourne International Comedy Festival, The Cape Town Fringe Festival and The National Arts Festival of South Africa. PRESENT DAY (of 1976). Straight-laced rookie Police Cop Jimmy Johnson is out to avenge his brother’s death, and he’s got to go it alone! (with his partner) Teamed up with a disgraced, retired renegade named Harrison, the pair begin to unearth the soily secrets that the case holds. POLICE COPS is a cinematic joyride, speeding down Adventure Avenue in a souped-up squad car. Oh, and did I mention...the steering wheel is made out of guns.
Bijou	2026-07-22	18:15	19:15	Molly McGuinness	https://purchase.vfringe.co.uk/EventAvailability?EventId=46601		Comedy & Cabaret	true	false	After a 5 star, award-nominated, totally sold out run at the Edinburgh Fringe, Molly McGuinness is going to be mixing her debut show Slob with some brand new material prepping for her next show. As seen on Comedy Central Live and heard on BBC Radio 4. BBC New Comedy Awards finalist. Tour support for Joe Lycett, Sophie Duker and Rachel Fairburn. “A supremely funny set from a future star” ***** The Herald “A formidable debut” **** Chortle “Audacity and Northern charm” **** Beyond The Joke
Pier Street Playhouse	2026-07-22	18:30	19:30	Taverner and James 'Rhyme and Reason'	https://purchase.vfringe.co.uk/EventAvailability?EventId=52001		Comedy & Cabaret	true	false	Bawdy bard Steve Taverner and opinionated newspaper columnist Cat James, return to Ventnor Fringe with a revised version of their 'Rhyme and Reason' show. Using poetry, prose, sketches and song, plus Cat's vintage school recorder, Taverner and James explore the issues which perplex, enrage and entertain us. With their opposing writing styles, can these two established social commentators find some common ground? Show contains strong language, adult themes, boomer dancing and references to nether regions.
Ventnor Library	2026-07-22	19:00	20:00	Medieval Medley	https://purchase.vfringe.co.uk/EventAvailability?EventId=54601		Spoken Word, Walks & Talks	true	false	"Step back in time for an evening of Medieval mischief, mystery and mayhem! These timeless tales feature a cast of truly unforgettable characters. A gang of youths embark on a pursuit to hunt down death, a clueless carpenter braces for a biblical flood and a swindler swears he has the skill of turning sticks into silver. So join the Island Storytellers for an evening of warmth, wisdom and wit in this fun and lively celebration of community storytelling."
Ventnor Arts Club	2026-07-22	19:00	20:00	Richard Pulsford: Gold Fashioned Jokes	https://purchase.vfringe.co.uk/EventAvailability?EventId=43201		Comedy & Cabaret	true	false	One-liners and quality light-hearted jokes from the UK Pun Championships winner 2022, Scottish Comedian of the Year runner-up 2021 and You Must Be Joke King winner 2024. Nominated best stand-up at Buxton Fringe 2023. Top Ten Jokes Edinburgh Fringe 2019, 2021 & 2023. As seen on Channel 4's Steph's Packed Lunch. ‘Quite literally, just an hour of puns and one-liners… a breath of fresh air from some of the darker Fringe comedy shows’ (Broadway World) ‘Exudes confidence and charm’ ***** (Lancaster Guardian) 'An assured performer… quick, original and funny' **** (Broadway Baby)
Ingrams Yard	2026-07-22	19:00	20:00	Whatever Happened To That Guy?	https://purchase.vfringe.co.uk/EventAvailability?EventId=59401		Performing Arts	true	false	In 2008, A-Lister Guy Wesley disappeared. Now, he’s writing his tell-all memoir. At least, that’s what failing author Bee Leigh wants her publishers to believe. Can she pull off the biggest hoax of the century* (*in the publishing world) before the yarn she’s spun unravels? Fresh off the back of three consecutive smash-hit Edinburgh Fringe runs, Maybe You Like It's brand new laugh-out-loud comedy promises fast-paced thrills, frantic multi-rolling and an awful lot of lying for a show inspired by a true story. Expect ‘a mountain of wit and meta-theatrical humour’ The Scotsman. Praise for previous work: **** 'Painfully funny' The Stage ***** 'exudes originality' The Recs ***** 'Simply the best show I've seen this year.' UK Theatre Web ***** 'Outstanding work' Theatre and Tonic 'spectacularly joyful and silly' The Independent Gems of the Fringe 2024"
